p_comments_count,p_caption,p_ig_id,p_is_comment_enabled,p_like_count,p_media_type,p_owner,p_shortcode,p_timestamp,p_username,p_views_count,p_location,p_location_id,c_username,c_timestamp,c_text,c_like_count,c_id,c_parent_id
33,"Our favorite local businesses do more than provide products and services—they serve up smiles 😊, connection 💫, and community 💞. We asked 5 small businesses what has driven them to stay the course amid the challenges of COVID-19. Swipe through for their inspirational answers, and head to the link in our bio to access the #GrowWithGoogle tools & resources that have helped them adapt.",2343232109567953642,True,3353,CAROUSEL_ALBUM,1067259270,CCE1TBNFkrq,2020-06-30,google,,,,balltoko,2020-06-30 23:25:49,hey google! do lesbians exist? if so USE THEM IN PRIDE POSTS,0,17870493784813160,
33,"Our favorite local businesses do more than provide products and services—they serve up smiles 😊, connection 💫, and community 💞. We asked 5 small businesses what has driven them to stay the course amid the challenges of COVID-19. Swipe through for their inspirational answers, and head to the link in our bio to access the #GrowWithGoogle tools & resources that have helped them adapt.",2343232109567953642,True,3353,CAROUSEL_ALBUM,1067259270,CCE1TBNFkrq,2020-06-30,google,,,,linda_sehili_10k,2020-06-30 23:26:53,Follow m'y page,1,17857120283054508,
155,Thought AR cats and tigers were fun? Now you can turn your home into #JurassicWorld with #AR dinosaurs. 🦕 Search for dinosaurs using your mobile device and tap “View in 3D” to see them in your room. Share your best creations using #Google3D & #3Ddinos. Tap the link in bio to learn more. 🦖,2343077335623203033,True,12639,VIDEO,1067259270,CCESGwvFvjZ,,google,68014.0,,,lugmilablichicnenk,2020-06-30 20:31:11,🤗🥰🤗🥰🤗🥰✌💃💃💃💃💃💃💃💃,1,17917412647432165,
155,Thought AR cats and tigers were fun? Now you can turn your home into #JurassicWorld with #AR dinosaurs. 🦕 Search for dinosaurs using your mobile device and tap “View in 3D” to see them in your room. Share your best creations using #Google3D & #3Ddinos. Tap the link in bio to learn more. 🦖,2343077335623203033,True,12639,VIDEO,1067259270,CCESGwvFvjZ,,google,68014.0,,,noalevitzky,2020-06-30 20:32:50,@asaflevitzky לילדים,1,17884324096621900,
155,Thought AR cats and tigers were fun? Now you can turn your home into #JurassicWorld with #AR dinosaurs. 🦕 Search for dinosaurs using your mobile device and tap “View in 3D” to see them in your room. Share your best creations using #Google3D & #3Ddinos. Tap the link in bio to learn more. 🦖,2343077335623203033,True,12639,VIDEO,1067259270,CCESGwvFvjZ,,google,68014.0,,,mariatorres1194,2020-06-30 20:42:03,👏👏👏👏👏👍👍👍,0,17954498977339902,
155,Thought AR cats and tigers were fun? Now you can turn your home into #JurassicWorld with #AR dinosaurs. 🦕 Search for dinosaurs using your mobile device and tap “View in 3D” to see them in your room. Share your best creations using #Google3D & #3Ddinos. Tap the link in bio to learn more. 🦖,2343077335623203033,True,12639,VIDEO,1067259270,CCESGwvFvjZ,,google,68014.0,,,elif_rahvanci,2020-06-30 20:45:09,👍👍👍👍,0,17849915393140670,
155,Thought AR cats and tigers were fun? Now you can turn your home into #JurassicWorld with #AR dinosaurs. 🦕 Search for dinosaurs using your mobile device and tap “View in 3D” to see them in your room. Share your best creations using #Google3D & #3Ddinos. Tap the link in bio to learn more. 🦖,2343077335623203033,True,12639,VIDEO,1067259270,CCESGwvFvjZ,,google,68014.0,,,6feetskills,2020-06-30 21:03:34,Check out my recent to develop skills for the future!,0,17865466690881043,
155,Thought AR cats and tigers were fun? Now you can turn your home into #JurassicWorld with #AR dinosaurs. 🦕 Search for dinosaurs using your mobile device and tap “View in 3D” to see them in your room. Share your best creations using #Google3D & #3Ddinos. Tap the link in bio to learn more. 🦖,2343077335623203033,True,12639,VIDEO,1067259270,CCESGwvFvjZ,,google,68014.0,,,werbeagenturbeck,2020-06-30 21:09:35,Awesome 👌,0,17868516025857628,
155,Thought AR cats and tigers were fun? Now you can turn your home into #JurassicWorld with #AR dinosaurs. 🦕 Search for dinosaurs using your mobile device and tap “View in 3D” to see them in your room. Share your best creations using #Google3D & #3Ddinos. Tap the link in bio to learn more. 🦖,2343077335623203033,True,12639,VIDEO,1067259270,CCESGwvFvjZ,,google,68014.0,,,mangosteenllc,2020-06-30 21:10:53,Nice! Check us out we make the best games in the Play Store! Link in bio.,1,17950162666354110,
155,Thought AR cats and tigers were fun? Now you can turn your home into #JurassicWorld with #AR dinosaurs. 🦕 Search for dinosaurs using your mobile device and tap “View in 3D” to see them in your room. Share your best creations using #Google3D & #3Ddinos. Tap the link in bio to learn more. 🦖,2343077335623203033,True,12639,VIDEO,1067259270,CCESGwvFvjZ,,google,68014.0,,,blacklion_667,2020-06-30 21:28:31,Why have the velociraptor for google if it’s not even accurate???,0,17854511510089943,
